trip_id,duration,start_date,start_id,end_date,weekday,end_id,bike_id,type
913460,765,8/31/2015 23:26,50,8/31/2015 23:39,1,70,288,Subscriber
913459,1036,8/31/2015 23:11,31,8/31/2015 23:28,1,27,35,Subscriber
913455,307,8/31/2015 23:13,47,8/31/2015 23:18,1,64,468,Subscriber
913454,409,8/31/2015 23:10,10,8/31/2015 23:17,1,8,68,Subscriber
913453,789,8/31/2015 23:09,51,8/31/2015 23:22,1,60,487,Customer
913452,293,8/31/2015 23:07,68,8/31/2015 23:12,1,70,538,Subscriber
913451,896,8/31/2015 23:07,51,8/31/2015 23:22,1,60,363,Customer
913450,255,8/31/2015 22:16,60,8/31/2015 22:20,1,74,470,Subscriber
913449,126,8/31/2015 22:12,56,8/31/2015 22:15,1,55,439,Subscriber
913448,932,8/31/2015 21:57,47,8/31/2015 22:12,1,66,472,Subscriber
913443,691,8/31/2015 21:49,60,8/31/2015 22:01,1,77,434,Subscriber
913442,633,8/31/2015 21:44,67,8/31/2015 21:54,1,70,531,Subscriber
913441,387,8/31/2015 21:39,76,8/31/2015 21:46,1,73,383,Subscriber
913440,281,8/31/2015 21:31,77,8/31/2015 21:36,1,82,621,Subscriber
913435,424,8/31/2015 21:25,55,8/31/2015 21:33,1,69,602,Subscriber
913434,283,8/31/2015 21:19,69,8/31/2015 21:24,1,65,521,Subscriber
913433,145,8/31/2015 21:17,35,8/31/2015 21:20,1,37,75,Customer
913432,703,8/31/2015 21:16,49,8/31/2015 21:28,1,69,426,Subscriber
913431,605,8/31/2015 21:11,55,8/31/2015 21:21,1,73,572,Subscriber
913429,902,8/31/2015 21:07,70,8/31/2015 21:22,1,82,501,Subscriber
913426,481,8/31/2015 21:06,70,8/31/2015 21:14,1,76,542,Subscriber
913421,335,8/31/2015 21:01,28,8/31/2015 21:07,1,32,13,Subscriber
913419,704,8/31/2015 20:58,74,8/31/2015 21:10,1,70,579,Subscriber
913416,326,8/31/2015 20:53,68,8/31/2015 20:59,1,69,517,Subscriber
913415,274,8/31/2015 20:53,50,8/31/2015 20:58,1,54,524,Subscriber
913410,709,8/31/2015 20:46,60,8/31/2015 20:58,1,54,553,Subscriber
913409,486,8/31/2015 20:44,49,8/31/2015 20:52,1,61,652,Subscriber
913404,273,8/31/2015 20:39,69,8/31/2015 20:44,1,65,287,Subscriber
913403,497,8/31/2015 20:37,77,8/31/2015 20:45,1,61,359,Subscriber
913402,395,8/31/2015 20:36,67,8/31/2015 20:43,1,57,877,Subscriber
913401,509,8/31/2015 20:34,72,8/31/2015 20:42,1,56,562,Subscriber
913400,671,8/31/2015 20:33,61,8/31/2015 20:45,1,71,33,Customer
913393,307,8/31/2015 20:27,32,8/31/2015 20:32,1,28,147,Subscriber
913392,359,8/31/2015 20:24,63,8/31/2015 20:30,1,70,501,Subscriber
913391,310,8/31/2015 20:24,57,8/31/2015 20:29,1,69,214,Subscriber
913388,329,8/31/2015 20:23,64,8/31/2015 20:28,1,77,621,Subscriber
913387,382,8/31/2015 20:23,57,8/31/2015 20:29,1,69,238,Customer
913386,1808,8/31/2015 20:23,54,8/31/2015 20:53,1,50,524,Subscriber
913385,215,8/31/2015 20:23,63,8/31/2015 20:26,1,64,193,Subscriber
913384,393,8/31/2015 20:23,57,8/31/2015 20:29,1,69,584,Customer
913383,1435,8/31/2015 20:20,61,8/31/2015 20:44,1,60,604,Customer
913382,645,8/31/2015 20:20,65,8/31/2015 20:31,1,50,270,Subscriber
